,Address,latitude,longitude,ZIP,Population,Median-Income,Restaurant,Venue,People per Restaurant,Income per Restaurant
1,"Red Stadium West, World Cup Way, Frisco, Collin County, Texas, 75034, United States",33.15690175,-96.8384963399733,75034,95996.0,112626.0,13,30,7384.307692307692,8663.538461538461
7,"8098, Oakcrest Drive, McKinney, Collin County, Texas, 75070, United States",33.190316,-96.722366,75070,93299.0,100848.0,14,47,6664.214285714285,7203.428571428572
4,"1270, G Avenue, Plano, Collin County, Texas, 75074, United States",33.0165958571429,-96.7044307142857,75074,48977.0,55152.0,17,29,2881.0,3244.235294117647
10,"Stratford Court, Little Elm, Denton County, Texas, 75036, United States of America",33.1606061351118,-96.9007463031854,75036,33245.0,120701.0,12,44,2770.4166666666665,10058.416666666666
0,"Bank of America, Custer Road, Frisco, Collin County, Texas, 75025, United States",33.12701475,-96.7326166447724,75025,53559.0,106301.0,22,54,2434.5,4831.863636363636
2,"Dallas Baptist University (DBU North), Dallas Parkway, Plano, Collin County, Texas, 75093, United States",33.0386718,-96.8313188391788,75093,48021.0,99378.0,21,63,2286.714285714286,4732.285714285715
3,"Highland Drive, Plano, Collin County, Texas, 75093, United States",33.029622,-96.790684,75093,48021.0,99378.0,21,63,2286.714285714286,4732.285714285715
11,"3499, Sage Brush Trail, Plano, Collin County, Texas, 75023, United States of America",33.053191,-96.756657,75023,49563.0,73602.0,25,25,1982.52,2944.08
5,"West Standifer Street, McKinney, Collin County, Texas, 75069, United States",33.1932757974842,-96.6167108846213,75069,36879.0,47886.0,20,62,1843.95,2394.3
6,"Collin College - Central Park Campus, West University Drive, McKinney, Collin County, Texas, 75069, United States",33.2186406,-96.6423088224089,75069,36879.0,47886.0,20,62,1843.95,2394.3
8,"Parking G, Dallas Parkway, Plano, Collin County, Texas, 75024, United States",33.08142795,-96.82527154428,75024,42405.0,89119.0,24,57,1766.875,3713.2916666666665
9,"Warren Parkway, The Centre at Preston Ridge, Frisco, Collin County, Texas, 75024:75057, United States",33.1090102075642,-96.8065742814636,75024,42405.0,89119.0,24,57,1766.875,3713.2916666666665
